"ID","ariRTmean","ariRTmed","ariRTV","ariN","ariMaxpc","visRTmean","visRTmed","visRTV","visN","visAcc"
1,921.515736040609,615.9,863966.692047032,197,94.7115384615385,5086.90517241379,1929.4,137109521.20085,58,0.893939393939394
2,1404.97204968944,927.1,1635277.8679014,161,77.4038461538462,3697.93333333333,1667.7,14152028.9470175,39,0.829787234042553
3,2157.88487394958,1193.4,6867673.93790486,119,57.2115384615385,3097.86229508197,1901.8,9429610.81872131,61,0.953125
4,3014.37065217391,2390.25,4860919.4251732,92,44.2307692307692,3598.646,2353.65,14424077.163351,50,0.909090909090909
5,3895.95230769231,3169.6,8963525.96253365,65,31.25,3612.12765957447,2091,12878787.4420444,47,0.94
6,1339.9550295858,1026.6,841002.783918005,169,81.25,3375.6,2287.2,12413624.6732143,58,0.934426229508197
7,2990.43854166667,2313.95,4379485.14828838,96,46.1538461538462,3300.12586206897,1943,11631103.2198457,58,0.935483870967742
8,3791.30588235294,2109,18471489.3793679,68,32.6923076923077,4282.45576923077,2549.4,15493954.1527112,52,0.982142857142857
9,5244.01851851852,4617.65,10507702.1373864,54,25.9615384615385,3971.94528301887,2293.5,16773354.3936792,53,0.946428571428571
10,1128.47788944724,904.6,645855.653246028,199,95.6730769230769,5196.25555555556,2442.75,39086830.540254,36,0.857142857142857
11,915.439903846154,737.85,408488.848399991,208,100,4081.58275862069,2147.8,28241737.97268,58,0.951612903225806
12,3210.06470588235,2334.2,7670304.19540616,85,40.8653846153846,4221.98679245283,1966,22129863.7546299,53,0.929824561403509
13,2882.33626373626,1659.2,14738729.3394481,91,43.75,5250.7225,2709.6,23367685.8669167,40,1
14,3639.88947368421,2503.85,10225868.8473544,76,36.5384615384615,NA,NA,NA,NA,NA
15,1589.65419354839,1173.2,1449973.89522581,155,74.5192307692308,3464.00185185185,2323.25,14100194.7190531,54,0.964285714285714
16,5688.27021276596,4120.8,17227599.1095282,47,22.5961538461538,4682.6125,2313.65,25825570.3257372,40,0.952380952380952
17,2114.12195121951,1379.2,3618576.65877649,123,59.1346153846154,3786.8347826087,2734.95,8348476.95965217,46,0.958333333333333
18,1287.20701754386,1083.4,1062488.71747988,171,82.2115384615385,4913.86857142857,2710.6,34042130.1739832,35,0.972222222222222
19,1287.3744047619,980.4,911823.058921799,168,80.7692307692308,3370.838,1871.3,11408121.4824041,50,0.961538461538462
20,4455.1717948718,3234.75,13506978.5589344,78,37.5,3928.71041666667,2366.35,10521929.4932934,48,0.979591836734694
21,1396.99182389937,990.3,1135104.62265425,159,76.4423076923077,2616.868,1880.85,3179552.13201633,50,0.87719298245614
22,1890.89318181818,1482.35,1681507.66354094,132,63.4615384615385,3954.38918918919,2475.2,28494034.8165465,37,0.948717948717949
23,1425.2987654321,1110.45,961451.954284181,162,77.8846153846154,4098.26153846154,2457.1,16682127.5655505,52,0.981132075471698
24,1143.20552486188,858.8,823975.637413751,181,87.0192307692308,3062.51475409836,2013,10326611.3112787,61,1
25,1741.77112676056,960.25,2511367.37880581,142,68.2692307692308,2929.63225806452,2058.4,4622330.47140137,62,1
26,1981.43828125,1389.05,2785652.78568836,128,61.5384615384615,3647.17173913044,2636.55,10902033.6767391,46,0.978723404255319
27,2040.9275,1708.45,1999449.52268277,120,57.6923076923077,3398.73725490196,2124.7,7851222.95398431,51,0.910714285714286
28,3692.72571428571,2473.95,12379744.5384596,70,33.6538461538462,5036.8724137931,2857.6,36068324.1356404,29,1
29,930.09068627451,671.25,588829.15503598,204,98.0769230769231,3142.70338983051,2025.5,11397577.8058504,59,1
30,3401.84133333333,2232.7,8336670.98516036,75,36.0576923076923,3024.17857142857,2149.5,4308476.03444156,56,1
31,1482.95632911392,1050.1,1238999.23801701,158,75.9615384615385,4729.96744186047,2045.7,30634621.2641528,43,0.977777777777778
32,1930.25615384615,1291.5,4224612.16248122,130,62.5,5081.15609756098,2797.1,24229539.8430244,41,0.953488372093023
